"partition_description", "runtime (milliseconds)"
l_shipdate-ps_availqty,72635
l_shipdate-ps_supplycost,214932
l_shipinstruct-ps_availqty,54601
l_shipinstruct-ps_supplycost,196529
l_shipmode-ps_availqty,56343
l_shipmode-ps_supplycost,196934
l_commitdate-r_name,46696
l_commitdate-r_regionkey,43801
l_discount-r_name,25554
l_discount-r_regionkey,25958
l_quantity-r_name,30294
l_quantity-r_regionkey,27141
l_receiptdate-r_name,44907
l_receiptdate-r_regionkey,44780
l_returnflag-r_name,23495
l_returnflag-r_regionkey,23705
l_shipdate-r_name,41608
l_shipdate-r_regionkey,43624
l_shipinstruct-r_name,23829
l_shipinstruct-r_regionkey,25322
l_shipmode-r_name,24017
l_shipmode-r_regionkey,24518
l_commitdate-s_nationkey,43985
l_discount-s_nationkey,26940
l_quantity-s_nationkey,29152
l_receiptdate-s_nationkey,44081
l_returnflag-s_nationkey,23430
l_shipdate-s_nationkey,42007
l_shipinstruct-s_nationkey,24076
l_shipmode-s_nationkey,24573
n_name-o_orderdate,29866
n_name-o_orderpriority,23319
n_name-o_orderstatus,24273
n_nationkey-o_orderdate,30667
n_nationkey-o_orderpriority,24333
n_nationkey-o_orderstatus,24721
n_regionkey-o_orderdate,30232
n_regionkey-o_orderpriority,24158
n_regionkey-o_orderstatus,24403
n_name-p_brand,24206
n_name-p_container,25014
n_name-p_size,25064
n_name-p_type,24979
n_nationkey-p_brand,24744
n_nationkey-p_container,25154
n_nationkey-p_size,25002
n_nationkey-p_type,23317
n_regionkey-p_brand,22709
n_regionkey-p_container,24265
n_regionkey-p_size,24282
n_regionkey-p_type,24283
n_name-ps_availqty,54090
n_name-ps_supplycost,195739
n_nationkey-ps_availqty,53519
n_nationkey-ps_supplycost,199625
n_regionkey-ps_availqty,53013
n_regionkey-ps_supplycost,193422
n_name-r_name,25887
n_name-r_regionkey,25219
n_nationkey-r_name,24595
n_nationkey-r_regionkey,26750
n_regionkey-r_name,23749
n_regionkey-r_regionkey,23376
n_name-s_nationkey,23011
n_nationkey-s_nationkey,23684
n_regionkey-s_nationkey,23919
o_orderdate-p_brand,31765
o_orderdate-p_container,31719
o_orderdate-p_size,30458
o_orderdate-p_type,30199
o_orderpriority-p_brand,23257
o_orderpriority-p_container,25213
o_orderpriority-p_size,24179
o_orderpriority-p_type,24602
o_orderstatus-p_brand,23943
o_orderstatus-p_container,23167
o_orderstatus-p_size,23302
o_orderstatus-p_type,26016
o_orderdate-ps_availqty,63175
o_orderdate-ps_supplycost,199996
o_orderpriority-ps_availqty,54320
o_orderpriority-ps_supplycost,194546
o_orderstatus-ps_availqty,51895
o_orderstatus-ps_supplycost,196890
o_orderdate-r_name,31408
o_orderdate-r_regionkey,31872
o_orderpriority-r_name,23425
o_orderpriority-r_regionkey,25354
o_orderstatus-r_name,23786
o_orderstatus-r_regionkey,23710
o_orderdate-s_nationkey,29772
o_orderpriority-s_nationkey,23801
o_orderstatus-s_nationkey,24409
p_brand-ps_availqty,54185
p_brand-ps_supplycost,195325
p_container-ps_availqty,53246
p_container-ps_supplycost,194387
p_size-ps_availqty,52747
p_size-ps_supplycost,196371
p_type-ps_availqty,52674
p_type-ps_supplycost,197067
p_brand-r_name,22640
p_brand-r_regionkey,22599
p_container-r_name,25016
p_container-r_regionkey,24774
p_size-r_name,24554
p_size-r_regionkey,24629
p_type-r_name,24366
p_type-r_regionkey,25325
p_brand-s_nationkey,25045
p_container-s_nationkey,26480
p_size-s_nationkey,25789
p_type-s_nationkey,29768
ps_availqty-r_name,53462
ps_availqty-r_regionkey,52694
ps_supplycost-r_name,193914
ps_supplycost-r_regionkey,197408
ps_availqty-s_nationkey,54232
ps_supplycost-s_nationkey,194622
r_name-s_nationkey,24940
r_regionkey-s_nationkey,26907
c_acctbal-l_commitdate-n_name,90348
c_acctbal-l_commitdate-n_nationkey,93964
c_acctbal-l_commitdate-n_regionkey,92058
c_acctbal-l_discount-n_name,73823
c_acctbal-l_discount-n_nationkey,73864
c_acctbal-l_discount-n_regionkey,71718
c_acctbal-l_quantity-n_name,76308
c_acctbal-l_quantity-n_nationkey,75281
c_acctbal-l_quantity-n_regionkey,74195
c_acctbal-l_receiptdate-n_name,91542
c_acctbal-l_receiptdate-n_nationkey,90670
c_acctbal-l_receiptdate-n_regionkey,92598
c_acctbal-l_returnflag-n_name,71535
c_acctbal-l_returnflag-n_nationkey,71872
c_acctbal-l_returnflag-n_regionkey,71397
c_acctbal-l_shipdate-n_name,91138
c_acctbal-l_shipdate-n_nationkey,89628
