"partition_description", "runtime (milliseconds)"
c_acctbal-l_discount-r_regionkey,80122
c_acctbal-l_quantity-r_name,76602
c_acctbal-l_quantity-r_regionkey,79874
c_acctbal-l_receiptdate-r_name,103477
c_acctbal-l_receiptdate-r_regionkey,94664
c_acctbal-l_returnflag-r_name,76496
c_acctbal-l_returnflag-r_regionkey,77332
c_acctbal-l_shipdate-r_name,91381
c_acctbal-l_shipdate-r_regionkey,89607
c_acctbal-l_shipinstruct-r_name,84099
c_acctbal-l_shipinstruct-r_regionkey,84664
c_acctbal-l_shipmode-r_name,78238
c_acctbal-l_shipmode-r_regionkey,79276
c_mktsegment-l_commitdate-r_name,44472
c_mktsegment-l_commitdate-r_regionkey,50993
c_mktsegment-l_discount-r_name,30701
c_mktsegment-l_discount-r_regionkey,31083
c_mktsegment-l_quantity-r_name,27129
c_mktsegment-l_quantity-r_regionkey,28435
c_mktsegment-l_receiptdate-r_name,44898
c_mktsegment-l_receiptdate-r_regionkey,48321
c_mktsegment-l_returnflag-r_name,28556
c_mktsegment-l_returnflag-r_regionkey,29559
c_mktsegment-l_shipdate-r_name,44992
c_mktsegment-l_shipdate-r_regionkey,47059
c_mktsegment-l_shipinstruct-r_name,32639
c_mktsegment-l_shipinstruct-r_regionkey,30001
c_mktsegment-l_shipmode-r_name,28249
c_mktsegment-l_shipmode-r_regionkey,28376
c_nationkey-l_commitdate-r_name,49484
c_nationkey-l_commitdate-r_regionkey,47010
c_nationkey-l_discount-r_name,30962
c_nationkey-l_discount-r_regionkey,31559
c_nationkey-l_quantity-r_name,27779
c_nationkey-l_quantity-r_regionkey,31968
c_nationkey-l_receiptdate-r_name,52554
c_nationkey-l_receiptdate-r_regionkey,49144
c_nationkey-l_returnflag-r_name,29501
c_nationkey-l_returnflag-r_regionkey,29723
c_nationkey-l_shipdate-r_name,48189
c_nationkey-l_shipdate-r_regionkey,42089
c_nationkey-l_shipinstruct-r_name,30788
c_nationkey-l_shipinstruct-r_regionkey,30403
c_nationkey-l_shipmode-r_name,35900
c_nationkey-l_shipmode-r_regionkey,33619
c_phone-l_commitdate-r_name,98318
c_phone-l_commitdate-r_regionkey,98807
c_phone-l_discount-r_name,80002
c_phone-l_discount-r_regionkey,80367
c_phone-l_quantity-r_name,80750
c_phone-l_quantity-r_regionkey,81392
c_phone-l_receiptdate-r_name,91803
c_phone-l_receiptdate-r_regionkey,97012
c_phone-l_returnflag-r_name,78833
c_phone-l_returnflag-r_regionkey,78319
c_phone-l_shipdate-r_name,97188
c_phone-l_shipdate-r_regionkey,88860
c_phone-l_shipinstruct-r_name,82472
c_phone-l_shipinstruct-r_regionkey,82291
c_phone-l_shipmode-r_name,81026
c_phone-l_shipmode-r_regionkey,81406
c_acctbal-l_commitdate-s_nationkey,96514
c_acctbal-l_discount-s_nationkey,79411
c_acctbal-l_quantity-s_nationkey,80069
c_acctbal-l_receiptdate-s_nationkey,97244
c_acctbal-l_returnflag-s_nationkey,74449
c_acctbal-l_shipdate-s_nationkey,90755
c_acctbal-l_shipinstruct-s_nationkey,89257
c_acctbal-l_shipmode-s_nationkey,80569
c_mktsegment-l_commitdate-s_nationkey,46603
c_mktsegment-l_discount-s_nationkey,30524
c_mktsegment-l_quantity-s_nationkey,30723
c_mktsegment-l_receiptdate-s_nationkey,54898
c_mktsegment-l_returnflag-s_nationkey,30085
c_mktsegment-l_shipdate-s_nationkey,40629
c_mktsegment-l_shipinstruct-s_nationkey,29537
c_mktsegment-l_shipmode-s_nationkey,34240
c_nationkey-l_commitdate-s_nationkey,51480
c_nationkey-l_discount-s_nationkey,29764
c_nationkey-l_quantity-s_nationkey,29701
c_nationkey-l_receiptdate-s_nationkey,44430
c_nationkey-l_returnflag-s_nationkey,30225
c_nationkey-l_shipdate-s_nationkey,49104
c_nationkey-l_shipinstruct-s_nationkey,29660
c_nationkey-l_shipmode-s_nationkey,33890
c_phone-l_commitdate-s_nationkey,94582
c_phone-l_discount-s_nationkey,75763
c_phone-l_quantity-s_nationkey,78466
c_phone-l_receiptdate-s_nationkey,97298
c_phone-l_returnflag-s_nationkey,79785
c_phone-l_shipdate-s_nationkey,98137
c_phone-l_shipinstruct-s_nationkey,83911
c_phone-l_shipmode-s_nationkey,82121
c_acctbal-n_name-o_orderdate,82562
c_acctbal-n_name-o_orderpriority,80354
c_acctbal-n_name-o_orderstatus,83521
c_acctbal-n_nationkey-o_orderdate,86641
c_acctbal-n_nationkey-o_orderpriority,80953
c_acctbal-n_nationkey-o_orderstatus,79648
c_acctbal-n_regionkey-o_orderdate,87321
c_acctbal-n_regionkey-o_orderpriority,80418
c_acctbal-n_regionkey-o_orderstatus,83913
c_mktsegment-n_name-o_orderdate,38993
c_mktsegment-n_name-o_orderpriority,31243
c_mktsegment-n_name-o_orderstatus,32941
c_mktsegment-n_nationkey-o_orderdate,39263
c_mktsegment-n_nationkey-o_orderpriority,32797
c_mktsegment-n_nationkey-o_orderstatus,33949
c_mktsegment-n_regionkey-o_orderdate,41361
c_mktsegment-n_regionkey-o_orderpriority,33353
c_mktsegment-n_regionkey-o_orderstatus,33135
c_nationkey-n_name-o_orderdate,49259
c_nationkey-n_name-o_orderpriority,31934
c_nationkey-n_name-o_orderstatus,33319
c_nationkey-n_nationkey-o_orderdate,39209
c_nationkey-n_nationkey-o_orderpriority,32850
c_nationkey-n_nationkey-o_orderstatus,34263
c_nationkey-n_regionkey-o_orderdate,41052
c_nationkey-n_regionkey-o_orderpriority,38883
c_nationkey-n_regionkey-o_orderstatus,32522
c_phone-n_name-o_orderdate,85637
c_phone-n_name-o_orderpriority,81426
c_phone-n_name-o_orderstatus,81440
c_phone-n_nationkey-o_orderdate,86333
c_phone-n_nationkey-o_orderpriority,79979
c_phone-n_nationkey-o_orderstatus,81049
c_phone-n_regionkey-o_orderdate,86672
c_phone-n_regionkey-o_orderpriority,81719
c_phone-n_regionkey-o_orderstatus,81895
c_acctbal-n_name-p_brand,82242
c_acctbal-n_name-p_container,81098
c_acctbal-n_name-p_size,79260
c_acctbal-n_name-p_type,81397
c_acctbal-n_nationkey-p_brand,81565
c_acctbal-n_nationkey-p_container,80814
c_acctbal-n_nationkey-p_size,83152
c_acctbal-n_nationkey-p_type,86065
c_acctbal-n_regionkey-p_brand,80860
c_acctbal-n_regionkey-p_container,83363
c_acctbal-n_regionkey-p_size,79677
c_acctbal-n_regionkey-p_type,82089
c_mktsegment-n_name-p_brand,33011
c_mktsegment-n_name-p_container,31493
c_mktsegment-n_name-p_size,32857
c_mktsegment-n_name-p_type,34018
c_mktsegment-n_nationkey-p_brand,32904
c_mktsegment-n_nationkey-p_container,33361
c_mktsegment-n_nationkey-p_size,33565
c_mktsegment-n_nationkey-p_type,35153
c_mktsegment-n_regionkey-p_brand,34105
c_mktsegment-n_regionkey-p_container,35431
c_mktsegment-n_regionkey-p_size,35287
c_mktsegment-n_regionkey-p_type,39128
c_nationkey-n_name-p_brand,31832
c_nationkey-n_name-p_container,32794
c_nationkey-n_name-p_size,33862
c_nationkey-n_name-p_type,32903
c_nationkey-n_nationkey-p_brand,34162
c_nationkey-n_nationkey-p_container,34718
c_nationkey-n_nationkey-p_size,33142
c_nationkey-n_nationkey-p_type,40629
c_nationkey-n_regionkey-p_brand,32178
c_nationkey-n_regionkey-p_container,32605
c_nationkey-n_regionkey-p_size,33025
c_nationkey-n_regionkey-p_type,34152
c_phone-n_name-p_brand,82006
c_phone-n_name-p_container,90146
c_phone-n_name-p_size,77248
c_phone-n_name-p_type,84946
c_phone-n_nationkey-p_brand,84117
c_phone-n_nationkey-p_container,81876
c_phone-n_nationkey-p_size,85799
c_phone-n_nationkey-p_type,81415
c_phone-n_regionkey-p_brand,82652
c_phone-n_regionkey-p_container,82179
c_phone-n_regionkey-p_size,80234
c_phone-n_regionkey-p_type,83344
c_acctbal-n_name-ps_availqty,117569
c_acctbal-n_name-ps_supplycost,315224
c_acctbal-n_nationkey-ps_availqty,111281
c_acctbal-n_nationkey-ps_supplycost,247675
c_acctbal-n_regionkey-ps_availqty,110309
c_acctbal-n_regionkey-ps_supplycost,247712
c_mktsegment-n_name-ps_availqty,63567
c_mktsegment-n_name-ps_supplycost,204159
c_mktsegment-n_nationkey-ps_availqty,61757
c_mktsegment-n_nationkey-ps_supplycost,197353
c_mktsegment-n_regionkey-ps_availqty,61638
c_mktsegment-n_regionkey-ps_supplycost,199960
c_nationkey-n_name-ps_availqty,67162
c_nationkey-n_name-ps_supplycost,201033
c_nationkey-n_nationkey-ps_availqty,63404
c_nationkey-n_nationkey-ps_supplycost,197952
c_nationkey-n_regionkey-ps_availqty,62057
c_nationkey-n_regionkey-ps_supplycost,201023
c_phone-n_name-ps_availqty,119677
c_phone-n_name-ps_supplycost,248730
c_phone-n_nationkey-ps_availqty,114953
c_phone-n_nationkey-ps_supplycost,246658
c_phone-n_regionkey-ps_availqty,117135
c_phone-n_regionkey-ps_supplycost,253125
c_acctbal-n_name-r_name,90272
c_acctbal-n_name-r_regionkey,85469
c_acctbal-n_nationkey-r_name,84718
c_acctbal-n_nationkey-r_regionkey,82199
c_acctbal-n_regionkey-r_name,83198
c_acctbal-n_regionkey-r_regionkey,84925
c_mktsegment-n_name-r_name,32794
c_mktsegment-n_name-r_regionkey,32790
c_mktsegment-n_nationkey-r_name,32558
c_mktsegment-n_nationkey-r_regionkey,32147
c_mktsegment-n_regionkey-r_name,32328
c_mktsegment-n_regionkey-r_regionkey,33302
c_nationkey-n_name-r_name,33875
c_nationkey-n_name-r_regionkey,33665
c_nationkey-n_nationkey-r_name,33928
c_nationkey-n_nationkey-r_regionkey,34018
c_nationkey-n_regionkey-r_name,33827
c_nationkey-n_regionkey-r_regionkey,34190
c_phone-n_name-r_name,85575
c_phone-n_name-r_regionkey,81472
c_phone-n_nationkey-r_name,82330
c_phone-n_nationkey-r_regionkey,82605
c_phone-n_regionkey-r_name,82609
c_phone-n_regionkey-r_regionkey,81966
c_acctbal-n_name-s_nationkey,82426
c_acctbal-n_nationkey-s_nationkey,83079
c_acctbal-n_regionkey-s_nationkey,81530
c_mktsegment-n_name-s_nationkey,32601
c_mktsegment-n_nationkey-s_nationkey,32839
c_mktsegment-n_regionkey-s_nationkey,32713
c_nationkey-n_name-s_nationkey,33170
c_nationkey-n_nationkey-s_nationkey,33896
c_nationkey-n_regionkey-s_nationkey,34254
c_phone-n_name-s_nationkey,94073
c_phone-n_nationkey-s_nationkey,82780
c_phone-n_regionkey-s_nationkey,77281
c_acctbal-o_orderdate-p_brand,87686
c_acctbal-o_orderdate-p_container,86647
c_acctbal-o_orderdate-p_size,87519
c_acctbal-o_orderdate-p_type,89092
c_acctbal-o_orderpriority-p_brand,85625
c_acctbal-o_orderpriority-p_container,81742
c_acctbal-o_orderpriority-p_size,81900
c_acctbal-o_orderpriority-p_type,82104
c_acctbal-o_orderstatus-p_brand,82222
c_acctbal-o_orderstatus-p_container,80697
c_acctbal-o_orderstatus-p_size,82425
c_acctbal-o_orderstatus-p_type,82138
c_mktsegment-o_orderdate-p_brand,38652
c_mktsegment-o_orderdate-p_container,44523
c_mktsegment-o_orderdate-p_size,39439
c_mktsegment-o_orderdate-p_type,39256
c_mktsegment-o_orderpriority-p_brand,33400
c_mktsegment-o_orderpriority-p_container,31978
c_mktsegment-o_orderpriority-p_size,33655
c_mktsegment-o_orderpriority-p_type,32911
c_mktsegment-o_orderstatus-p_brand,33204
c_mktsegment-o_orderstatus-p_container,38335
c_mktsegment-o_orderstatus-p_size,32143
c_mktsegment-o_orderstatus-p_type,32438
c_nationkey-o_orderdate-p_brand,39796
c_nationkey-o_orderdate-p_container,40860
c_nationkey-o_orderdate-p_size,44971
c_nationkey-o_orderdate-p_type,39559
c_nationkey-o_orderpriority-p_brand,32334
c_nationkey-o_orderpriority-p_container,33676
c_nationkey-o_orderpriority-p_size,33016
c_nationkey-o_orderpriority-p_type,34390
c_nationkey-o_orderstatus-p_brand,32826
c_nationkey-o_orderstatus-p_container,34152
c_nationkey-o_orderstatus-p_size,34888
c_nationkey-o_orderstatus-p_type,34851
c_phone-o_orderdate-p_brand,88371
c_phone-o_orderdate-p_container,88507
c_phone-o_orderdate-p_size,85761
c_phone-o_orderdate-p_type,87116
c_phone-o_orderpriority-p_brand,83471
c_phone-o_orderpriority-p_container,80699
c_phone-o_orderpriority-p_size,83172
c_phone-o_orderpriority-p_type,76624
c_phone-o_orderstatus-p_brand,81389
c_phone-o_orderstatus-p_container,76324
c_phone-o_orderstatus-p_size,80017
c_phone-o_orderstatus-p_type,82204
c_acctbal-o_orderdate-ps_availqty,115703
c_acctbal-o_orderdate-ps_supplycost,266855
c_acctbal-o_orderpriority-ps_availqty,108981
c_acctbal-o_orderpriority-ps_supplycost,248709
c_acctbal-o_orderstatus-ps_availqty,122464
c_acctbal-o_orderstatus-ps_supplycost,247033
c_mktsegment-o_orderdate-ps_availqty,67613
c_mktsegment-o_orderdate-ps_supplycost,208673
c_mktsegment-o_orderpriority-ps_availqty,62213
c_mktsegment-o_orderpriority-ps_supplycost,199115
c_mktsegment-o_orderstatus-ps_availqty,67079
c_mktsegment-o_orderstatus-ps_supplycost,199094
c_nationkey-o_orderdate-ps_availqty,75048
c_nationkey-o_orderdate-ps_supplycost,207239
c_nationkey-o_orderpriority-ps_availqty,63330
c_nationkey-o_orderpriority-ps_supplycost,202830
c_nationkey-o_orderstatus-ps_availqty,62640
c_nationkey-o_orderstatus-ps_supplycost,200267
c_phone-o_orderdate-ps_availqty,124844
c_phone-o_orderdate-ps_supplycost,255465
c_phone-o_orderpriority-ps_availqty,118206
c_phone-o_orderpriority-ps_supplycost,247918
c_phone-o_orderstatus-ps_availqty,112285
c_phone-o_orderstatus-ps_supplycost,254034
c_acctbal-o_orderdate-r_name,92609
c_acctbal-o_orderdate-r_regionkey,89464
c_acctbal-o_orderpriority-r_name,82013
c_acctbal-o_orderpriority-r_regionkey,81580
c_acctbal-o_orderstatus-r_name,82572
c_acctbal-o_orderstatus-r_regionkey,82141
c_mktsegment-o_orderdate-r_name,38616
c_mktsegment-o_orderdate-r_regionkey,38976
c_mktsegment-o_orderpriority-r_name,31781
c_mktsegment-o_orderpriority-r_regionkey,33593
c_mktsegment-o_orderstatus-r_name,33060
c_mktsegment-o_orderstatus-r_regionkey,32926
c_nationkey-o_orderdate-r_name,40860
c_nationkey-o_orderdate-r_regionkey,41014
c_nationkey-o_orderpriority-r_name,35363
c_nationkey-o_orderpriority-r_regionkey,34699
c_nationkey-o_orderstatus-r_name,36282
c_nationkey-o_orderstatus-r_regionkey,35380
c_phone-o_orderdate-r_name,101839
c_phone-o_orderdate-r_regionkey,89325
c_phone-o_orderpriority-r_name,82233
c_phone-o_orderpriority-r_regionkey,83074
c_phone-o_orderstatus-r_name,81482
c_phone-o_orderstatus-r_regionkey,83998
c_acctbal-o_orderdate-s_nationkey,87265
c_acctbal-o_orderpriority-s_nationkey,82927
c_acctbal-o_orderstatus-s_nationkey,81940
c_mktsegment-o_orderdate-s_nationkey,40567
c_mktsegment-o_orderpriority-s_nationkey,31999
c_mktsegment-o_orderstatus-s_nationkey,33412
c_nationkey-o_orderdate-s_nationkey,40974
c_nationkey-o_orderpriority-s_nationkey,40235
c_nationkey-o_orderstatus-s_nationkey,32698
c_phone-o_orderdate-s_nationkey,88750
c_phone-o_orderpriority-s_nationkey,83239
c_phone-o_orderstatus-s_nationkey,82013
c_acctbal-p_brand-ps_availqty,112073
c_acctbal-p_brand-ps_supplycost,274625
c_acctbal-p_container-ps_availqty,113443
c_acctbal-p_container-ps_supplycost,250778
c_acctbal-p_size-ps_availqty,111031
c_acctbal-p_size-ps_supplycost,248631
c_acctbal-p_type-ps_availqty,114739
c_acctbal-p_type-ps_supplycost,248578
c_mktsegment-p_brand-ps_availqty,61893
c_mktsegment-p_brand-ps_supplycost,205387
c_mktsegment-p_container-ps_availqty,64176
c_mktsegment-p_container-ps_supplycost,197746
c_mktsegment-p_size-ps_availqty,62156
c_mktsegment-p_size-ps_supplycost,198380
c_mktsegment-p_type-ps_availqty,62915
c_mktsegment-p_type-ps_supplycost,198419
c_nationkey-p_brand-ps_availqty,63875
c_nationkey-p_brand-ps_supplycost,207347
c_nationkey-p_container-ps_availqty,61794
c_nationkey-p_container-ps_supplycost,207560
c_nationkey-p_size-ps_availqty,62168
c_nationkey-p_size-ps_supplycost,197713
c_nationkey-p_type-ps_availqty,61198
c_nationkey-p_type-ps_supplycost,199498
c_phone-p_brand-ps_availqty,120248
c_phone-p_brand-ps_supplycost,251782
c_phone-p_container-ps_availqty,113302
c_phone-p_container-ps_supplycost,247924
c_phone-p_size-ps_availqty,117770
c_phone-p_size-ps_supplycost,244329
c_phone-p_type-ps_availqty,118108
c_phone-p_type-ps_supplycost,248622
c_acctbal-p_brand-r_name,97497
c_acctbal-p_brand-r_regionkey,83432
c_acctbal-p_container-r_name,82991
c_acctbal-p_container-r_regionkey,88306
c_acctbal-p_size-r_name,77529
c_acctbal-p_size-r_regionkey,82072
c_acctbal-p_type-r_name,82266
c_acctbal-p_type-r_regionkey,83356
c_mktsegment-p_brand-r_name,34053
c_mktsegment-p_brand-r_regionkey,33776
c_mktsegment-p_container-r_name,32778
c_mktsegment-p_container-r_regionkey,33292
c_mktsegment-p_size-r_name,33160
c_mktsegment-p_size-r_regionkey,34038
c_mktsegment-p_type-r_name,33956
c_mktsegment-p_type-r_regionkey,33179
c_nationkey-p_brand-r_name,35734
c_nationkey-p_brand-r_regionkey,34681
c_nationkey-p_container-r_name,35420
c_nationkey-p_container-r_regionkey,35508
c_nationkey-p_size-r_name,35016
c_nationkey-p_size-r_regionkey,35527
c_nationkey-p_type-r_name,36511
c_nationkey-p_type-r_regionkey,38306
c_phone-p_brand-r_name,86319
c_phone-p_brand-r_regionkey,82055
c_phone-p_container-r_name,81602
c_phone-p_container-r_regionkey,81345
c_phone-p_size-r_name,81529
c_phone-p_size-r_regionkey,81150
c_phone-p_type-r_name,82093
c_phone-p_type-r_regionkey,82428
c_acctbal-p_brand-s_nationkey,81643
c_acctbal-p_container-s_nationkey,81063
c_acctbal-p_size-s_nationkey,82549
c_acctbal-p_type-s_nationkey,81859
c_mktsegment-p_brand-s_nationkey,32417
c_mktsegment-p_container-s_nationkey,32670
c_mktsegment-p_size-s_nationkey,33219
c_mktsegment-p_type-s_nationkey,33455
c_nationkey-p_brand-s_nationkey,33226
c_nationkey-p_container-s_nationkey,33903
c_nationkey-p_size-s_nationkey,34815
c_nationkey-p_type-s_nationkey,35292
c_phone-p_brand-s_nationkey,82888
c_phone-p_container-s_nationkey,82770
c_phone-p_size-s_nationkey,82956
c_phone-p_type-s_nationkey,85609
c_acctbal-ps_availqty-r_name,116365
c_acctbal-ps_availqty-r_regionkey,118876
c_acctbal-ps_supplycost-r_name,273656
c_acctbal-ps_supplycost-r_regionkey,249506
c_mktsegment-ps_availqty-r_name,60879
c_mktsegment-ps_availqty-r_regionkey,67450
c_mktsegment-ps_supplycost-r_name,197787
c_mktsegment-ps_supplycost-r_regionkey,203069
c_nationkey-ps_availqty-r_name,60852
c_nationkey-ps_availqty-r_regionkey,62351
c_nationkey-ps_supplycost-r_name,204614
c_nationkey-ps_supplycost-r_regionkey,199572
c_phone-ps_availqty-r_name,120746
c_phone-ps_availqty-r_regionkey,113625
c_phone-ps_supplycost-r_name,245649
c_phone-ps_supplycost-r_regionkey,247124
c_acctbal-ps_availqty-s_nationkey,141367
c_acctbal-ps_supplycost-s_nationkey,255148
c_mktsegment-ps_availqty-s_nationkey,61524
c_mktsegment-ps_supplycost-s_nationkey,196949
c_nationkey-ps_availqty-s_nationkey,68792
c_nationkey-ps_supplycost-s_nationkey,197533
c_phone-ps_availqty-s_nationkey,111301
c_phone-ps_supplycost-s_nationkey,247760
c_acctbal-r_name-s_nationkey,87625
c_acctbal-r_regionkey-s_nationkey,82138
c_mktsegment-r_name-s_nationkey,32317
c_mktsegment-r_regionkey-s_nationkey,33363
c_nationkey-r_name-s_nationkey,33347
c_nationkey-r_regionkey-s_nationkey,33331
c_phone-r_name-s_nationkey,81368
c_phone-r_regionkey-s_nationkey,84052
l_commitdate-n_name-o_orderdate,72835
l_commitdate-n_name-o_orderpriority,49847
l_commitdate-n_name-o_orderstatus,44630
l_commitdate-n_nationkey-o_orderdate,55752
l_commitdate-n_nationkey-o_orderpriority,49053
l_commitdate-n_nationkey-o_orderstatus,51585
l_commitdate-n_regionkey-o_orderdate,50673
l_commitdate-n_regionkey-o_orderpriority,52869
l_commitdate-n_regionkey-o_orderstatus,44415
l_discount-n_name-o_orderdate,37454
l_discount-n_name-o_orderpriority,30501
l_discount-n_name-o_orderstatus,30956
l_discount-n_nationkey-o_orderdate,38032
l_discount-n_nationkey-o_orderpriority,30824
l_discount-n_nationkey-o_orderstatus,30514
l_discount-n_regionkey-o_orderdate,42150
l_discount-n_regionkey-o_orderpriority,29583
l_discount-n_regionkey-o_orderstatus,29487
l_quantity-n_name-o_orderdate,36129
l_quantity-n_name-o_orderpriority,29763
l_quantity-n_name-o_orderstatus,29664
l_quantity-n_nationkey-o_orderdate,37389
l_quantity-n_nationkey-o_orderpriority,33502
l_quantity-n_nationkey-o_orderstatus,29235
l_quantity-n_regionkey-o_orderdate,34710
l_quantity-n_regionkey-o_orderpriority,29129
l_quantity-n_regionkey-o_orderstatus,29025
l_receiptdate-n_name-o_orderdate,74528
l_receiptdate-n_name-o_orderpriority,50022
l_receiptdate-n_name-o_orderstatus,44431
l_receiptdate-n_nationkey-o_orderdate,57140
l_receiptdate-n_nationkey-o_orderpriority,49665
l_receiptdate-n_nationkey-o_orderstatus,53080
l_receiptdate-n_regionkey-o_orderdate,52241
l_receiptdate-n_regionkey-o_orderpriority,49597
l_receiptdate-n_regionkey-o_orderstatus,43374
l_returnflag-n_name-o_orderdate,37211
l_returnflag-n_name-o_orderpriority,30383
l_returnflag-n_name-o_orderstatus,29093
l_returnflag-n_nationkey-o_orderdate,38139
l_returnflag-n_nationkey-o_orderpriority,31558
l_returnflag-n_nationkey-o_orderstatus,31715
l_returnflag-n_regionkey-o_orderdate,41612
l_returnflag-n_regionkey-o_orderpriority,28603
l_returnflag-n_regionkey-o_orderstatus,29724
l_shipdate-n_name-o_orderdate,63324
l_shipdate-n_name-o_orderpriority,47350
l_shipdate-n_name-o_orderstatus,48416
l_shipdate-n_nationkey-o_orderdate,47066
l_shipdate-n_nationkey-o_orderpriority,46931
l_shipdate-n_nationkey-o_orderstatus,47220
l_shipdate-n_regionkey-o_orderdate,49690
l_shipdate-n_regionkey-o_orderpriority,46296
l_shipdate-n_regionkey-o_orderstatus,41489
l_shipinstruct-n_name-o_orderdate,40011
l_shipinstruct-n_name-o_orderpriority,32319
l_shipinstruct-n_name-o_orderstatus,34191
l_shipinstruct-n_nationkey-o_orderdate,46472
l_shipinstruct-n_nationkey-o_orderpriority,31497
l_shipinstruct-n_nationkey-o_orderstatus,33086
l_shipinstruct-n_regionkey-o_orderdate,35761
l_shipinstruct-n_regionkey-o_orderpriority,34392
l_shipinstruct-n_regionkey-o_orderstatus,30418
l_shipmode-n_name-o_orderdate,43262
l_shipmode-n_name-o_orderpriority,41875
l_shipmode-n_name-o_orderstatus,29024
l_shipmode-n_nationkey-o_orderdate,42345
l_shipmode-n_nationkey-o_orderpriority,27957
l_shipmode-n_nationkey-o_orderstatus,34286
l_shipmode-n_regionkey-o_orderdate,36925
l_shipmode-n_regionkey-o_orderpriority,29731
l_shipmode-n_regionkey-o_orderstatus,34351
l_commitdate-n_name-p_brand,47104
l_commitdate-n_name-p_container,59136
l_commitdate-n_name-p_size,45437
l_commitdate-n_name-p_type,52938
l_commitdate-n_nationkey-p_brand,48885
l_commitdate-n_nationkey-p_container,44828
l_commitdate-n_nationkey-p_size,51779
l_commitdate-n_nationkey-p_type,50972
l_commitdate-n_regionkey-p_brand,44252
l_commitdate-n_regionkey-p_container,55287
l_commitdate-n_regionkey-p_size,44022
l_commitdate-n_regionkey-p_type,50342
l_discount-n_name-p_brand,30418
l_discount-n_name-p_container,30617
l_discount-n_name-p_size,30235
l_discount-n_name-p_type,32481
l_discount-n_nationkey-p_brand,31850
l_discount-n_nationkey-p_container,32660
l_discount-n_nationkey-p_size,32373
l_discount-n_nationkey-p_type,32487
l_discount-n_regionkey-p_brand,32121
l_discount-n_regionkey-p_container,31714
l_discount-n_regionkey-p_size,32681
l_discount-n_regionkey-p_type,33764
l_quantity-n_name-p_brand,31312
l_quantity-n_name-p_container,32041
l_quantity-n_name-p_size,31700
l_quantity-n_name-p_type,33046
l_quantity-n_nationkey-p_brand,32777
l_quantity-n_nationkey-p_container,39700
l_quantity-n_nationkey-p_size,28713
l_quantity-n_nationkey-p_type,30613
l_quantity-n_regionkey-p_brand,30155
l_quantity-n_regionkey-p_container,31466
l_quantity-n_regionkey-p_size,30395
l_quantity-n_regionkey-p_type,30845
l_receiptdate-n_name-p_brand,51548
l_receiptdate-n_name-p_container,45265
l_receiptdate-n_name-p_size,51456
l_receiptdate-n_name-p_type,43911
l_receiptdate-n_nationkey-p_brand,50526
l_receiptdate-n_nationkey-p_container,43772
l_receiptdate-n_nationkey-p_size,52090
l_receiptdate-n_nationkey-p_type,51497
l_receiptdate-n_regionkey-p_brand,46546
l_receiptdate-n_regionkey-p_container,51302
l_receiptdate-n_regionkey-p_size,44358
l_receiptdate-n_regionkey-p_type,53780
l_returnflag-n_name-p_brand,31278
l_returnflag-n_name-p_container,30027
l_returnflag-n_name-p_size,30503
l_returnflag-n_name-p_type,29767
l_returnflag-n_nationkey-p_brand,32860
l_returnflag-n_nationkey-p_container,33706
l_returnflag-n_nationkey-p_size,30552
l_returnflag-n_nationkey-p_type,30933
l_returnflag-n_regionkey-p_brand,30658
l_returnflag-n_regionkey-p_container,30797
l_returnflag-n_regionkey-p_size,33375
l_returnflag-n_regionkey-p_type,33600
l_shipdate-n_name-p_brand,52098
l_shipdate-n_name-p_container,39997
l_shipdate-n_name-p_size,48503
l_shipdate-n_name-p_type,48616
l_shipdate-n_nationkey-p_brand,41601
l_shipdate-n_nationkey-p_container,48162
l_shipdate-n_nationkey-p_size,40785
l_shipdate-n_nationkey-p_type,47784
l_shipdate-n_regionkey-p_brand,40901
l_shipdate-n_regionkey-p_container,47827
l_shipdate-n_regionkey-p_size,49523
l_shipdate-n_regionkey-p_type,42121
l_shipinstruct-n_name-p_brand,28734
l_shipinstruct-n_name-p_container,30120
l_shipinstruct-n_name-p_size,29620
l_shipinstruct-n_name-p_type,33841
l_shipinstruct-n_nationkey-p_brand,33213
l_shipinstruct-n_nationkey-p_container,33600
l_shipinstruct-n_nationkey-p_size,31989
l_shipinstruct-n_nationkey-p_type,30468
l_shipinstruct-n_regionkey-p_brand,31445
l_shipinstruct-n_regionkey-p_container,36082
l_shipinstruct-n_regionkey-p_size,35502
l_shipinstruct-n_regionkey-p_type,35913
l_shipmode-n_name-p_brand,38868
l_shipmode-n_name-p_container,28482
l_shipmode-n_name-p_size,34212
l_shipmode-n_name-p_type,29846
l_shipmode-n_nationkey-p_brand,29464
l_shipmode-n_nationkey-p_container,29572
l_shipmode-n_nationkey-p_size,30096
l_shipmode-n_nationkey-p_type,29318
l_shipmode-n_regionkey-p_brand,35232
l_shipmode-n_regionkey-p_container,35338
l_shipmode-n_regionkey-p_size,30449
l_shipmode-n_regionkey-p_type,30142
l_commitdate-n_name-ps_availqty,100261
l_commitdate-n_name-ps_supplycost,361699
l_commitdate-n_nationkey-ps_availqty,73119
l_commitdate-n_nationkey-ps_supplycost,219425
l_commitdate-n_regionkey-ps_availqty,80110
l_commitdate-n_regionkey-ps_supplycost,217393
l_discount-n_name-ps_availqty,66188
l_discount-n_name-ps_supplycost,196985
l_discount-n_nationkey-ps_availqty,61231
